target_id	length	eff_length	est_counts	tpm
AAA-750000-UP-4	1059	876.652	69797	220583
ABA-187500-UP-4	523	340.652	9199	74815.6
ACA-46875-UP-4	1033	850.652	4456	14513
ADA-23438-UP-4	1022	839.652	1920	6335.26
AEA-11719-UP-4	1991	1808.65	2113	3236.74
AFA-5859-UP-4	1124	941.652	718	2112.5
AGA-2930-UP-4	521	338.652	313	2560.67
AHA-2930-UP-4	771	588.652	315	1482.57
AIA-1465-UP-4	1023	840.652	199	655.843
AJA-732-UP-4	644	461.652	33	198.044
AKA-732-UP-4	538	355.652	20	155.8
ALA-366-UP-4	1023	840.652	46	151.602
AMA-183-UP-4	537	354.652	6	46.8718
ANA-183-UP-4	844	661.652	20	83.7458
APA-92-UP-4	1130	947.652	9	26.3122
ARA-46-UP-4	2022	1839.65	2	3.01202
ASA-46-UP-4	274	101.788	1	27.2187
ATA-23-UP-4	1023	840.652	1	3.29569
AUA-11-UP-4	523	340.652	2	16.266
AVA-11-UP-4	494	311.652	0	0
AWA-6-UP-4	1022	839.652	0	0
AXA-3-UP-4	1136	953.652	0	0
AYA-1-UP-4	1022	839.652	0	0
BAB-1500000-SAME-1	1107	924.652	44261	132619
BBB-375000-SAME-1	505	322.652	3816	32767
BCB-93750-SAME-1	984	801.652	1410	4873
BDB-46875-SAME-1	1023	840.652	1490	4910.58
BEB-23438-SAME-1	523	340.652	503	4090.91
BFB-11719-SAME-1	1130	947.652	251	733.817
BGB-5859-SAME-1	1994	1811.65	286	437.375
BHB-5859-SAME-1	274	101.788	12	326.624
BIB-2930-SAME-1	1023	840.652	53	174.672
BJB-1465-SAME-1	494	311.652	3	26.6694
BKB-1465-SAME-1	1118	935.652	22	65.1435
BLB-732-SAME-1	1019	836.652	42	139.081
BMB-366-SAME-1	743	560.652	5	24.7081
BNB-366-SAME-1	644	461.652	7	42.0094
BPB-183-SAME-1	1138	955.652	5	14.4955
BRB-92-SAME-1	536	353.652	0	0
BSB-92-SAME-1	603	420.652	3	19.7588
BTB-46-SAME-1	1027	844.652	1	3.28008
BUB-23-SAME-1	2022	1839.65	1	1.50601
BVB-23-SAME-1	493	310.652	0	0
BWB-11-SAME-1	1024	841.652	0	0
BXB-6-SAME-1	1136	953.652	0	0
BYB-1-SAME-1	1023	840.652	0	0
CAC-2250000-DOWN-0.67	522	339.652	31395	256088
CBC-562500-DOWN-0.67	840	657.652	9766	41141.8
CCC-140625-DOWN-0.67	1042	859.652	1530	4930.96
CDC-70312-DOWN-0.67	994	811.652	1322	4512.58
CEC-35156-DOWN-0.67	642	459.652	243	1464.67
CFC-17578-DOWN-0.67	1156	973.652	367	1044.3
CGC-8789-DOWN-0.67	523	340.652	95	772.637
CHC-8789-DOWN-0.67	642	459.652	124	747.404
CIC-4395-DOWN-0.67	994	811.652	87	296.97
CJC-2197-DOWN-0.67	1350	1167.65	32	75.9276
CKC-2197-DOWN-0.67	274	101.788	5	136.093
CLC-1099-DOWN-0.67	1019	836.652	29	96.032
CMC-549-DOWN-0.67	784	601.652	7	32.2341
CNC-549-DOWN-0.67	740	557.652	7	34.7774
CPC-275-DOWN-0.67	1136	953.652	4	11.6207
CRC-137-DOWN-0.67	536	353.652	0	0
CSC-137-DOWN-0.67	744	561.652	1	4.93282
CTC-69-DOWN-0.67	1022	839.652	0	0
CUC-34-DOWN-0.67	536	353.652	0	0
CVC-34-DOWN-0.67	844	661.652	0	0
CWC-17-DOWN-0.67	994	811.652	1	3.41345
CXC-9-DOWN-0.67	1143	960.652	0	0
CYC-2-DOWN-0.67	1021	838.652	0	0
DAD-3000000-DOWN-0.5	1061	878.652	40132	126543
DBD-750000-DOWN-0.5	522	339.652	3742	30523.4
DCD-187500-DOWN-0.5	1023	840.652	3531	11637.1
DDD-93750-DOWN-0.5	1023	840.652	2118	6980.28
DED-46875-DOWN-0.5	751	568.652	362	1763.7
DFD-23438-DOWN-0.5	1136	953.652	420	1220.18
DGD-11719-DOWN-0.5	872	689.652	94	377.625
DHD-11719-DOWN-0.5	644	461.652	88	528.118
DID-5859-DOWN-0.5	993	810.652	76	259.742
DJD-2930-DOWN-0.5	543	360.652	11	84.502
DKD-2930-DOWN-0.5	525	342.652	27	218.31
DLD-1465-DOWN-0.5	743	560.652	23	113.657
DMD-732-DOWN-0.5	1957	1774.65	22	34.3457
DND-732-DOWN-0.5	273	100.984	0	0
DPD-366-DOWN-0.5	1137	954.652	5	14.5107
DRD-183-DOWN-0.5	537	354.652	1	7.81196
DSD-183-DOWN-0.5	808	625.652	3	13.2847
DTD-92-DOWN-0.5	1024	841.652	2	6.58355
DUD-46-DOWN-0.5	1122	939.652	1	2.94846
DVD-46-DOWN-0.5	534	351.652	0	0
DWD-23-DOWN-0.5	1020	837.652	0	0
DXD-11-DOWN-0.5	1136	953.652	0	0
DYD-3-DOWN-0.5	992	809.652	0	0
