target_id	length	eff_length	est_counts	tpm
AAA-750000-UP-4	1059	889.717	44913	210018
ABA-187500-UP-4	523	353.717	6784	79793.3
ACA-46875-UP-4	1033	863.717	3064	14758.9
ADA-23438-UP-4	1022	852.717	1228	5991.43
AEA-11719-UP-4	1991	1821.72	1412	3224.71
AFA-5859-UP-4	1124	954.717	466	2030.71
AGA-2930-UP-4	521	351.717	205	2424.92
AHA-2930-UP-4	771	601.717	191	1320.62
AIA-1465-UP-4	1023	853.717	111	540.936
AJA-732-UP-4	644	474.717	21	184.044
AKA-732-UP-4	538	368.717	12	135.402
ALA-366-UP-4	1023	853.717	26	126.706
AMA-183-UP-4	537	367.717	10	113.142
ANA-183-UP-4	844	674.717	8	49.3293
APA-92-UP-4	1130	960.717	10	43.3053
ARA-46-UP-4	2022	1852.72	3	6.73673
ASA-46-UP-4	274	111.919	0	0
ATA-23-UP-4	1023	853.717	1	4.8733
AUA-11-UP-4	523	353.717	0	0
AVA-11-UP-4	494	324.717	0	0
AWA-6-UP-4	1022	852.717	0	0
AXA-3-UP-4	1136	966.717	0	0
AYA-1-UP-4	1022	852.717	0	0
BAB-1500000-SAME-1	1107	937.717	28653	127126
BBB-375000-SAME-1	505	335.717	2678	33187.4
BCB-93750-SAME-1	984	814.717	928	4738.91
BDB-46875-SAME-1	1023	853.717	1043	5082.85
BEB-23438-SAME-1	523	353.717	332	3904.98
BFB-11719-SAME-1	1130	960.717	125	541.317
BGB-5859-SAME-1	1994	1824.72	189	430.927
BHB-5859-SAME-1	274	111.919	9	334.562
BIB-2930-SAME-1	1023	853.717	49	238.792
BJB-1465-SAME-1	494	324.717	3	38.4373
BKB-1465-SAME-1	1118	948.717	7	30.6972
BLB-732-SAME-1	1019	849.717	21	102.821
BMB-366-SAME-1	743	573.717	9	65.2652
BNB-366-SAME-1	644	474.717	0	0
BPB-183-SAME-1	1138	968.717	2	8.58954
BRB-92-SAME-1	536	366.717	2	22.6901
BSB-92-SAME-1	603	433.717	1	9.59247
BTB-46-SAME-1	1027	857.717	2	9.70114
BUB-23-SAME-1	2022	1852.72	3	6.73673
BVB-23-SAME-1	493	323.717	2	25.704
BWB-11-SAME-1	1024	854.717	1	4.8676
BXB-6-SAME-1	1136	966.717	0	0
BYB-1-SAME-1	1023	853.717	0	0
CAC-2250000-DOWN-0.67	522	352.717	23370	275657
CBC-562500-DOWN-0.67	840	670.717	6570	40753.3
CCC-140625-DOWN-0.67	1042	872.717	1004	4786.27
CDC-70312-DOWN-0.67	994	824.717	959	4837.83
CEC-35156-DOWN-0.67	642	472.717	161	1416.97
CFC-17578-DOWN-0.67	1156	986.717	193	813.77
CGC-8789-DOWN-0.67	523	353.717	66	776.291
CHC-8789-DOWN-0.67	642	472.717	66	580.871
CIC-4395-DOWN-0.67	994	824.717	47	237.099
CJC-2197-DOWN-0.67	1350	1180.72	30	105.709
CKC-2197-DOWN-0.67	274	111.919	1	37.1736
CLC-1099-DOWN-0.67	1019	849.717	23	112.614
CMC-549-DOWN-0.67	784	614.717	5	33.8401
CNC-549-DOWN-0.67	740	570.717	3	21.8694
CPC-275-DOWN-0.67	1136	966.717	4	17.2146
CRC-137-DOWN-0.67	536	366.717	0	0
CSC-137-DOWN-0.67	744	574.717	0	0
CTC-69-DOWN-0.67	1022	852.717	2	9.75803
CUC-34-DOWN-0.67	536	366.717	0	0
CVC-34-DOWN-0.67	844	674.717	0	0
CWC-17-DOWN-0.67	994	824.717	0	0
CXC-9-DOWN-0.67	1143	973.717	0	0
CYC-2-DOWN-0.67	1021	851.717	0	0
DAD-3000000-DOWN-0.5	1061	891.717	26119	121861
DBD-750000-DOWN-0.5	522	352.717	2447	28863.2
DCD-187500-DOWN-0.5	1023	853.717	2245	10940.6
DDD-93750-DOWN-0.5	1023	853.717	1462	7124.76
DED-46875-DOWN-0.5	751	581.717	183	1308.81
DFD-23438-DOWN-0.5	1136	966.717	272	1170.59
DGD-11719-DOWN-0.5	872	702.717	63	372.99
DHD-11719-DOWN-0.5	644	474.717	60	525.84
DID-5859-DOWN-0.5	993	823.717	59	297.996
DJD-2930-DOWN-0.5	543	373.717	11	122.458
DKD-2930-DOWN-0.5	525	355.717	19	222.221
DLD-1465-DOWN-0.5	743	573.717	21	152.285
DMD-732-DOWN-0.5	1957	1787.72	6	13.9633
DND-732-DOWN-0.5	273	111.047	2	74.9306
DPD-366-DOWN-0.5	1137	967.717	4	17.1968
DRD-183-DOWN-0.5	537	367.717	2	22.6284
DSD-183-DOWN-0.5	808	638.717	2	13.0274
DTD-92-DOWN-0.5	1024	854.717	3	14.6028
DUD-46-DOWN-0.5	1122	952.717	1	4.3669
DVD-46-DOWN-0.5	534	364.717	0	0
DWD-23-DOWN-0.5	1020	850.717	0	0
DXD-11-DOWN-0.5	1136	966.717	0	0
DYD-3-DOWN-0.5	992	822.717	0	0
